id,POI/street
0,s. par 53/
1,/angg per
2,/asma laun
3,/agung rej nga sri
4,/cut mutia
5,/pem dos dapur ala gar no
6,/tb . mara
7,/
8,/
9,/raya won wonotunggal
10,tebet timur tebet raya 92/
11,/kemur viii
12,/kimia farma
13,/war bakso
14,toko teddy raya pan jakat/
15,/slb bina ban
16,dimas laun/jl tanjung ii
17,/waroeng baro batik
18,/pagi raya roa malaka
19,/
20,/jatikarya gg
21,/ser aswan no
22,pendowo gg ./pan bodeh
23,tebet barat/
24,timur vi/
25,taman lengsar/
26,/raya bant
27,/mas barat
28,/
29,/ki ageng peman
30,/lemb bimbi belajar
31,/jln.hbr motik komplek kel.karya baru
32,/tanjung gg . mah
33,/pab bintaro ampenan
34,/barat iii
35,museum pos indonesia/
36,/m. t. hary
37,/ged hijau viii
38,/
39,/telajung bek no
40,/jl abu 1
41,/rogo jampi
42,/letj supr
43,/sela
44,/jl . karya baru jl . letjen sutoyo
45,/
46,/daya
47,/
48,/pon rami
49,/
50,/
51,/bhin karya
52,/mas nurul huda
53,mahk rege/kel .
54,/
55,/ayam bakar
56,/
57,/kampung bali kh has 178
58,/dsn sendang pancur kec . kab . tuban
59,/raya kapas kalianyar
60,/pal xi
61,/
62,/
63,/tanjung lap service
64,/
65,/jamba no
66,/
67,/pulau bida
68,/par sarpo i
69,/
70,taman krakatau/
71,/ud mayapur candra raya
72,/
73,/kp lebak jero kab .
74,/mla iii 102 mlatibaru
75,/raya band
76,/aneka lilin
77,/
78,/klam jaya
79,/
80,/kel .
81,/
82,pangkalan jati/
83,/gg . wono
84,/mue pets
85,/pem palembang musi raya matr raya
86,/kateguhan roti pak budi
87,perumahan wahana/
88,/
89,/gg . buntu
90,/pinjam sinar pel
91,/bun raya
92,/
93,/
94,/gg . 3
95,/
96,/
97,/raya pasar kec
98,/lin ren
99,/
100,/
101,/sate 61151
102,/jl.a dah 9 kramat
103,/fun rck
104,/
105,/
106,/jogoka gg . sidol mantrijeron
107,/move on
108,/lat sim
109,/
110,/
111,/tan jaya
112,/petojo utara bin ii
113,sd negeri/24393 seunuddon
114,mel 2/
115,/mand raya baksiu karadenan
116,/ringinrejo raya
117,/ade cell
118,taman nyiur/
119,tk teratai/
120,/sud hus
121,/jalan
122,/monu emmy gunung sari
123,/als box
124,/raya bek
125,/jo no kel . medan
126,/first indo
127,/
128,/mar raya
129,/
130,/
131,/
132,/
133,soek hatta/cv . sinar mand
134,/bubur ayam
135,/gunung andong via gogik
136,/pluit
137,/
138,/dewa ruci
139,/gg . h. iii 462 sukabungah
140,/jl . komp . sawah
141,/air camar
142,/kli adel
143,sisun kel ./
144,tan baru/tan
145,/
146,/
147,/kb rukun
148,/
149,/kel . raya
150,/
151,/kel .
152,notaris hanny/
153,/kedunghalang aka
154,/aek godan 150
155,/suka iii paninggilan ciledug
156,/tanjung
157,/jatil raya jakasampurna bekasi
158,/gg . djuli
159,/ngu rai
160,/es cam jus pokat
161,/
162,/mangsang sei
163,/jela sela 15
164,/pisa baru pisangan baru
165,surya kenc/
166,/wis rah seme pt par v
167,sumber jaya/
168,/bank rak
169,/& lapis ngu rai
170,/oro dowo
171,/ir . h. jua iii
172,/raya bek
173,toko joven/
174,/keta kali
175,/
176,toko susu/bat haji hamb
177,/jl . cendrawasih raya
178,/
179,/jl . kunto jl . krap perm gg . i merbung ruko
180,/bca finance jl jendral
181,/
182,/pencucian salju
183,/
184,/
185,/ism kebayoran lama
186,poris resid/kel .
187,/dpd di yogyakarta
188,/
189,/karang sari
190,/tulung kel .
191,/
192,/
193,/nuri i
194,/
195,/kawan bangli
196,/agung suprapto
197,/cv . abata
198,/kerja bakti
199,peri kem/
200,/de latinos
201,/pon rum
202,/gg . hj
203,/
204,/kunto wijono man besar
205,/bachsyaini husein
206,/ngareanak pat -
207,/
208,/jaya baru
209,/karanganyar jl raya cina rt
210,/bin cell
211,/ayam gepuk pak blan . sut
212,/
213,/
214,/gayam dok
215,toko gemi/
216,/
217,depok lama/jl . pemuda
218,pondok cabe/
219,masjid al -/
220,/mungkur jenderal
221,/mutiara telkomsel
222,/pt gajah mada iii block jl raya lingkar timur
223,/gg . st . ibu ii
224,/jln karya baru kel srengseng
225,/
226,pettuadae andi/
227,suka karya/kel .
228,siu der sum/
229,/kel .
230,/raya ker suralaga
231,/abel motor
232,/meruya selatan gg
233,/aup barat iii
234,/ame ix
235,simpang peut- yas spb/
236,/gg.6 blok
237,/
238,/jl . kedon lor jl . kedon
239,/
240,/kel .
241,/raya pamu per
242,( konter data/
243,/gajah mada
244,/mranggen hj . umi salamah
245,/kios yoga
246,/no.2(dekat rs
247,/
248,/rest elby
249,/gabus 87
250,/pay neg
251,swadaya 3/hills jl b2 jatiranggon
252,tebet timur tebet/
253,/amaq said
254,pamulang barat/
255,/r.s .
256,/got roy
257,/amp i
258,/liga raya
259,seko mene/
260,/masuk cunda
261,k5 shop/raya cila
262,slogi kuli/babakan ciparay
263,/jl . gn . krak iv
264,/gunung anyar mah ix
265,/gus war
266,/bante baru no kampung melayu
267,/
268,/agung ilir
269,sumur welut/
270,/
271,taman berm/
272,tour dan tra/
273,/
274,/ketintang baru
275,/golf lake
276,/sek pegangsaan
277,/arif rah
278,trio busana/
279,/kel .
280,/padema
281,/jin mas motor . pt raya and ubud
282,/
283,/aris muna kiduldalem
284,/multimedia mandiri has basry
285,panga dlm i/
286,/jl.brigjend katamso spbu singapore station di rm.sondoro
287,/
288,/bank syariah amanah mancur jl . re . martadinata
289,/
290,haji asm beji/
291,/
292,/gg . pd . asri
293,/raden kusno
294,/alun- no
295,/mojoroto mojor gg
296,purwac musik/
297,/gg . 4
298,/nova jaya abadi
299,/rice bowl
300,/pasar baru let
301,/mas barat
302,/apo sehat mand
303,/bunga ram i
304,/ten xvii
305,/per cilame ngamprah
306,/jelambar baru suka 4
307,toko tia air hitam/
308,/
309,psyco funky/
310,/graha sampurna
311,/
312,/barat no kel . balikpapan
